STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
NEW YORK,JULIA SALAZAR,STATE SENATE,18,85989.13
NEW YORK,ZOHRAN KWAME MAMDANI,STATE ASSEMBLY,36,268782.27
NEW YORK,ALBERT A. STIRPE,STATE ASSEMBLY,127,269529.57
NEW YORK,DAVID I. WEPRIN,STATE ASSEMBLY,24,453201.81
NEW YORK,JACOB C. ASHBY,STATE ASSEMBLY,107,38831.36000000001
NEW YORK,MICHAEL A. MONTESANO,STATE ASSEMBLY,15,26911.550000000003
NEW YORK,TODD KAMINSKY,STATE SENATE,9,722859.74
NEW YORK,CHRISTOPHER S. FRIEND,STATE ASSEMBLY,124,1544.25
NEW YORK,KIMBERLY JEAN-PIERRE,STATE ASSEMBLY,11,62461.11
NEW YORK,JEREMY COONEY,STATE SENATE,56,570477.78
NEW YORK,SUSAN J. SERINO,STATE SENATE,41,0.0
NEW YORK,MICHAEL J. CUSICK,STATE ASSEMBLY,63,277342.41
NEW YORK,JUDY GRIFFIN,STATE ASSEMBLY,21,211954.27000000002
NEW YORK,JOHN E. BROOKS,STATE SENATE,8,239571.49
NEW YORK,TIMOTHY M. KENNEDY,STATE SENATE,63,582249.2999999999
NEW YORK,MARY BETH WALSH,STATE ASSEMBLY,112,80780.91
NEW YORK,KEVIN THOMAS,STATE SENATE,6,578578.2799999999
NEW YORK,JOHN T. MCDONALD,STATE ASSEMBLY,108,158966.34
NEW YORK,THOMAS J. ABINANTI,STATE ASSEMBLY,92,40201.68000000001
NEW YORK,MICHAEL J. NORRIS,STATE ASSEMBLY,144,33653.51
NEW YORK,JOHN LEMONDES,STATE ASSEMBLY,126,59043.03
NEW YORK,DIANE J. SAVINO,STATE SENATE,23,534181.49
NEW YORK,KARL A. BRABENEC,STATE ASSEMBLY,98,50870.61
NEW YORK,JOHN J. SALKA,STATE ASSEMBLY,121,25715.479999999996
NEW YORK,PHILIP M. BOYLE,STATE SENATE,4,104078.80000000002
NEW YORK,SARAH CLARK,STATE ASSEMBLY,136,32163.6
