NAME,CATEGORY
CONCUR TECHNOLOGIES,SOFTWARE & TECHNOLOGY
CONNECT STRATEGIC COMMUNICATIONS,UTILITIES
CONNELL DONATELLI,DIGITAL ADVERTISING
CONNOLLY PRINTING,PRINTING
CONRAD DIRECT,DIRECT MAIL
CONSERVATIVE CONNECTOR,WEBSITE SERVICES
CONSOLIDATED MAILING SERVICES,DIRECT MAIL
CONSOVOY MCCARTHY PLLC,LEGAL SERVICES
CONVERGENCE CONSULTING GROUP,ACCOUNTING & FINANCIAL MANAGEMENT
CONVERGENCE MEDIA,MEDIA & ADS
CONVERGENCE TARGETED COMMUNICATIONS,UTILITIES
CONVERGING MEDIA,MEDIA & ADS
CONVERT DIGITAL,WEBSITE SERVICES
CORNERSTONE STRATEGIC SERVICES,FUNDRAISING & FUNDRAISING CONSULTING
CORPORATE COMMUNICATIONS GROUP,UTILITIES
COUNTERPOINT MESSAGING,MEDIA & ADS
COVINGTON BURLING,LEGAL SERVICES
CP DIRECT,DIRECT MAIL
CQ ROLL CALL,GENERAL OPERATIONS & SUPPLIES
CREATIVE DIRECT,DIRECT MAIL
CREATIVE PRINT GROUP,PRINTING
CREATIVE SOUND AND LIGHTING,EVENT EXPENSES
CROSBY OTTENHOFF GROUP,COMPLIANCE SERVICES
CROSSROADS MEDIA,MEDIA & ADS
CULINARY WORKERS UNION LOCAL 226,POLITICAL FUNDS & GROUPS
CUSHMAN & WAKEFIELD,OFFICE EXPENSES
CUSTOMIZED NEWSPAPER ADVERTISING,MEDIA & ADS
CVS PHARMACY,OFFICE EXPENSES
CYGNAL,POLLING & RESEARCH
D&D UNLIMITED,LEGAL SERVICES
D13 STRATEGIES,COMPLIANCE SERVICES
DAILY WIRE,MEDIA & ADS
DATA TARGETING,DATA & DATABASE SERVICES
DATAPIER,DATA & DATABASE SERVICES
DAVEY CONSULTING,FUNDRAISING & FUNDRAISING CONSULTING
DAVID BINDER RESEARCH,POLLING & RESEARCH
DAVIS SQUARE REAL ESTATE,OFFICE EXPENSES
DC HEALTH LINK,INSURANCE
DC TREASURER,TAXES
DCE PRODUCTIONS,MEDIA & ADS
DCM INC,"PR, COMMUNICATIONS, & MARKETING"
DEEP ROOT ANALYTICS,DATA & DATABASE SERVICES
DELIVER STRATEGIES,CAMPAIGN CONSULTING
DELOITTE,CAMPAIGN CONSULTING
DELTA AIRLINES,TRAVEL & LODGING
DEMOCRACY ADVANCEMENT FUND,CANVASSING & FIELD WORK
DEMOCRACY ENGINE,CREDIT CARD PROCESSING FEES
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE (DCCC),POLITICAL FUNDS & GROUPS
DEMOCRATIC NATIONAL COMMITTEE (DNC),POLITICAL FUNDS & GROUPS
DEMOCRATIC PROPERTIES,POLITICAL FUNDS & GROUPS
UNITED STATES DEPARTMENT OF THE TREASURY,TAXES
DERBY H WATKINS,LEGAL SERVICES
DESIGN CUISINE,MEALS & CATERING
DEVELOPWELL,"PR, COMMUNICATIONS, & MARKETING"
DEVINE MULVEY LONGABAUGH,MEDIA & ADS
DEWEY SQUARE GROUP,CREDIT CARD PROCESSING FEES
DIALPAD,SOFTWARE & TECHNOLOGY
DICKINSON WRIGHT PLLC,LEGAL SERVICES
DIGITAL CONSULTING GROUP,DIGITAL & SOCIAL MEDIA CONSULTING
DIRECT MAIL PROCESSORS,DIRECT MAIL
DIRECT MAIL SOLUTIONS,DIRECT MAIL
DIRECT MAIL SYSTEMS,DIRECT MAIL
DIRECT PERSUASION,COMPLIANCE SERVICES
DIRECT RESPONSE STRATEGIES,DIRECT MAIL
DIRECT SUPPORT SERVICES,DIRECT MAIL
DIRECT SUPPORT SYSTEMS,SOFTWARE & TECHNOLOGY
DISCOUNT MAILING SERVICE,SHIPPING & POSTAGE
DISCOVERY SERVICES,GENERAL OPERATIONS & SUPPLIES
DISTRICT CITY CONSULTING,FUNDRAISING & FUNDRAISING CONSULTING
DIXON DAVIS MEDIA GROUP,MEDIA & ADS
DMM MEDIA,MEDIA & ADS
DO BIG THINGS,MEDIA & ADS
DOLE ASSOCIATES LP,OFFICE EXPENSES
DOMINION PAYROLL,SALARY & PAYROLL PROCESSING FEES
DONOHOE PARTNERS,OFFICE EXPENSES
DONOR BUREAU,DATA & DATABASE SERVICES
DONOR SERVICES GROUP,FUNDRAISING & FUNDRAISING CONSULTING
DREAMBASE/CALLTIME,CREDIT CARD PROCESSING FEES
DRIVE DIGITAL AGENCY,MEDIA & ADS
DRIVER EIGHT MEDIA,MEDIA & ADS
DROGIN GROUP,"PR, COMMUNICATIONS, & MARKETING"
DRUCKER LAWHON,FUNDRAISING & FUNDRAISING CONSULTING
DSCC OPERATING,TRAVEL & LODGING
DSPOLITICAL,CAMPAIGN CONSULTING
DT CLIENT SERVICES,CAMPAIGN CONSULTING
DUNTON CONSULTING,CAMPAIGN CONSULTING
E STREET GROUP,CAMPAIGN CONSULTING
EC CONSULTING,FUNDRAISING & FUNDRAISING CONSULTING
ECG DATA CENTER,DATA & DATABASE SERVICES
ECKERT & ASSOCIATES,FUNDRAISING & FUNDRAISING CONSULTING
EDONATION,CREDIT CARD PROCESSING FEES
EGENCIA,TRAVEL & LODGING
EICHENBAUM SKINNER STRATEGIES,MEDIA & ADS
EL TORO,MEDIA & ADS
ELAVON,CREDIT CARD PROCESSING FEES
ELECTION CFO,COMPLIANCE SERVICES
ELECTIONS LLC,CAMPAIGN CONSULTING
ELECTIONS IN MOTION,CAMPAIGN CONSULTING
ELEVATION CONSULTING,FUNDRAISING & FUNDRAISING CONSULTING
ELITE GRAPHICS,PRINTING
ELLIS CROW SOLUTIONS,COMPLIANCE SERVICES
EMC RESEARCH,POLLING & RESEARCH
EMILYS LIST,POLITICAL FUNDS & GROUPS
ENCOMPASS ELEMENTS,SHIPPING & POSTAGE
ENFRANCHISEMENT PRODUCTIONS,MEDIA & ADS
ENGAGE,ACCOUNTING & FINANCIAL MANAGEMENT
ENTERPRISE,TRAVEL & LODGING
ENVIRONMENTAL DEFENSE ACTION FUND,POLITICAL FUNDS & GROUPS
ENVISION MARKETING,"PR, COMMUNICATIONS, & MARKETING"
ETHICA MEDIA,MEDIA & ADS
ETHOS ADVISORS,LEGAL SERVICES
ETS RISK MANAGEMENT,COMPLIANCE SERVICES
EVANS KATZ,COMPLIANCE SERVICES
EVENT RESOURCE GROUP,LEGAL SERVICES
EVENT STRATEGIES,LEGAL SERVICES
EVENTS UNITED,EVENT EXPENSES
EVERYACTION,SOFTWARE & TECHNOLOGY
EVERYTOWN FOR GUN SAFETY ACTION FUND,POLITICAL FUNDS & GROUPS
EVOLVING STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
EXPEDIA,TRAVEL & LODGING
EXPEDITION STRATEGIES,POLLING & RESEARCH
EXTREME REACH,SOFTWARE & TECHNOLOGY
FABRIZIO LEE & ASSOCIATES,POLLING & RESEARCH
FACEBOOK,DIGITAL ADVERTISING
FAIRBANK MASLIN MAULLIN METZ & ASSOCIATES,POLLING & RESEARCH
FALCON WEST INSURANCE BROKERS,INSURANCE
FBR CAPITAL MARKETS & CO,ACCOUNTING & FINANCIAL MANAGEMENT
FEDERAL EXPRESS (FEDEX),SHIPPING & POSTAGE
FIDELITY,TAXES
FIELDWORKS,CANVASSING & FIELD WORK
FII MARKETING,"PR, COMMUNICATIONS, & MARKETING"
FINANCE STRATEGIES GROUP,FUNDRAISING & FUNDRAISING CONSULTING
FINANCIAL INNOVATIONS,ACCOUNTING & FINANCIAL MANAGEMENT
FINN PARTNERS,MEDIA & ADS
FIORELLO CONSULTING,FUNDRAISING & FUNDRAISING CONSULTING
FIRESIDE CAMPAIGNS,FUNDRAISING & FUNDRAISING CONSULTING
FIRST BANK,CREDIT CARD PAYMENT & BANK FEES
FIRST DATA,CREDIT CARD PROCESSING FEES
FIRST STEP PRINT SHOP,PRINTING
FIRST VIRGINIA COMMUNITY BANK,CREDIT CARD PAYMENT & BANK FEES
FLANAGAN FULKERSON & COMPANY,FUNDRAISING & FUNDRAISING CONSULTING
FLEXPOINT MEDIA,MEDIA & ADS
FLS CONNECT,FUNDRAISING & FUNDRAISING CONSULTING
FLUENT,"PR, COMMUNICATIONS, & MARKETING"
FLYTEDESK,DIGITAL ADVERTISING
FOGLAMP CONTENT STUDIO,DIGITAL ADVERTISING
FOR OUR FUTURE ACTION FUND,POLITICAL FUNDS & GROUPS
FOREMOST SOLUTIONS GROUP,DIRECT MAIL
FORTHRIGHT STRATEGY,DIRECT MAIL
FORTIFIED CONSULTING,DIGITAL & SOCIAL MEDIA CONSULTING
FORWARD STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
FOSTER GARVEY PC,LEGAL SERVICES
FOUR SEASONS HOTEL,TRAVEL & LODGING
FP1 DIGITAL STRATEGIES,MEDIA & ADS
FREEMAN NEW ORLEANS,MEDIA & ADS
FREESTONE COMMUNICATIONS,UTILITIES
FRONT LINE STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
FRONT RUNNER PRODUCTIONS,MEDIA & ADS
FROST GROUP,FUNDRAISING & FUNDRAISING CONSULTING
FULFILLMENT HOUSE,SHIPPING & POSTAGE
FULFILLMENT SOLUTIONS,SHIPPING & POSTAGE
FULKERSON KENNEDY & COMPANY,FUNDRAISING & FUNDRAISING CONSULTING
FULL HOUSE EVENTS,EVENT EXPENSES
FULL REACH MEDIA GROUP,MEDIA & ADS
FUNDING SOLUTIONS,FUNDRAISING & FUNDRAISING CONSULTING
FUSE,MEDIA & ADS
FUTURE NOW FUND,POLITICAL FUNDS & GROUPS
GARNER AND RR DONNELLY AND SONS CO,PRINTING
GATEWAY MEDIA,MEDIA & ADS
GBAO STRATEGIES,POLLING & RESEARCH
GBI STRATEGIES,POLLING & RESEARCH
GELLER ADVISORS & COMPANY,LEGAL SERVICES
GEORGETOWN POST,MEDIA & ADS
PERRY GERSHON,LEGAL SERVICES
GETTHRU,ACCOUNTING & FINANCIAL MANAGEMENT
GETTY IMAGES,GENERAL OPERATIONS & SUPPLIES
GILBERT & WOLFAND PC,ACCOUNTING & FINANCIAL MANAGEMENT
GILLIARD BLANNING & ASSOCIATES,CAMPAIGN CONSULTING
MICHAEL GLASSNER,SALARY & PAYROLL
GLOBAL MARKETING RESEARCH SERVICES,POLLING & RESEARCH
GLOBAL STRATEGY GROUP,POLLING & RESEARCH
GMMB,MEDIA & ADS
GO BIG MEDIA,MEDIA & ADS
GO RIGHT STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
GODADDY,WEBSITE SERVICES
