NAME,CATEGORY
PENN NATIONAL GAMING,EVENT EXPENSES
PEOPLE WHO THINK,"PR, COMMUNICATIONS, & MARKETING"
PEOPLE'S UNITED BANK,CREDIT CARD PAYMENT & BANK FEES
PETERSEN PRINTING,PRINTING
PHILLIPS,GENERAL OPERATIONS & SUPPLIES
PIER 91 MEDIA,MEDIA & ADS
PINNACLE PROMOTIONS,CAMPAIGN SIGNS & PARAPHERNALIA
PINPOINT MEDIA,MEDIA & ADS
PIRYX,CREDIT CARD PROCESSING FEES
PLANNED PARENTHOOD,CONTRIBUTION & DONATION
PNC BANK,CREDIT CARD PAYMENT & BANK FEES
POLITICAL SOURCING GROUP,CAMPAIGN CONSULTING
PRECISION STRATEGIES,"PR, COMMUNICATIONS, & MARKETING"
PREMIER GRAPHICS,PRINTING
PROMOTION CHOICE,CAMPAIGN SIGNS & PARAPHERNALIA
PUBLIC OPINION STRATEGIES,POLLING & RESEARCH
PUBLISHER'S MAILING SERVICE,DIRECT MAIL
PUBLIX,GENERAL OPERATIONS & SUPPLIES
PUTNAM PARTNERS,MEDIA & ADS
R SQUARED,DIGITAL ADVERTISING
R&R PARTNERS,MEDIA & ADS
RAISE THE MONEY,CREDIT CARD PROCESSING FEES
RALSTON LAPP MEDIA,MEDIA & ADS
REAGAN OUTDOOR ADVERTISING,MEDIA & ADS
RED HORSE STRATEGIES,"PR, COMMUNICATIONS, & MARKETING"
RED MAVERICK MEDIA,MEDIA & ADS
RED STATE STRATEGIES,CAMPAIGN CONSULTING
REDRIGHT STRATEGIES,CAMPAIGN CONSULTING
REDSTONE COMMUNICATIONS,"PR, COMMUNICATIONS, & MARKETING"
REDWOOD PACIFIC PUBLIC AFFAIRS,"PR, COMMUNICATIONS, & MARKETING"
REGIONS BANK,CREDIT CARD PAYMENT & BANK FEES
RENEWAL VOTER OUTREACH,CANVASSING & FIELD WORK
REPUBLIC BANK,CREDIT CARD PAYMENT & BANK FEES
REPUBLICAN GOVERNORS ASSOCIATION,POLITICAL FUNDS & GROUPS
RESKYU,PRINTING
REVOLUTION MEDIA GROUP,MEDIA & ADS
