STATE,NAME,CATEGORY
NEBRASKA,NEBRASKA DEMOCRATIC PARTY,POLITICAL FUNDS & GROUPS
NEBRASKA,OMAHA WORLD HERALD,MEDIA & ADS
NEBRASKA,UNIONIST PRINTING,PRINTING
NEBRASKA,GOLDENROD PRINTING,PRINTING
NEBRASKA,RUSHMORE COMPANY,ACCOUNTING & FINANCIAL MANAGEMENT
NEW HAMPSHIRE,FRIENDS OF CANDACE BOUCHARD,POLITICAL FUNDS & GROUPS
NEW HAMPSHIRE,NEW HAMPSHIRE DEMOCRATIC PARTY (NHDP),POLITICAL FUNDS & GROUPS
NEW HAMPSHIRE,WCSH-TV,MEDIA & ADS
NEW MEXICO,DON MICKEY DESIGNS,PRINTING
NEW MEXICO,NEW MEXICO BANK AND TRUST (FNBNM),CREDIT CARD PAYMENT & BANK FEES
NEW MEXICO,MCCLESKEY MEDIA STRATEGIES,MEDIA & ADS
NEW YORK,1199/SEIU NEW YORK STATE POLITICAL ACTION FUND,POLITICAL FUNDS & GROUPS
NEW YORK,FAMILIES FOR EXCELLENT SCHOOLS,POLITICAL FUNDS & GROUPS
NEW YORK,NEW YORK STATE UNITED TEACHERS,POLITICAL FUNDS & GROUPS
NEW YORK,WOMEN'S BAR ASSOCIATION OF THE STATE OF NEW YORK (WBASNY),POLITICAL FUNDS & GROUPS
OHIO,OHIO DEMOCRATIC PARTY,POLITICAL FUNDS & GROUPS
OHIO,OHIO HOUSE DEMOCRATIC CAUCUS,POLITICAL FUNDS & GROUPS
OHIO,OHIO HOUSE DEMOCRATIC CAUCUS,POLITICAL FUNDS & GROUPS
OHIO,OHIO HOUSE OF REPRESENTATIVES,POLITICAL FUNDS & GROUPS
OHIO,OHIO HOUSE REPUBLICAN CAMPAIGN COMMITTEE,POLITICAL FUNDS & GROUPS
OHIO,OHIO HOUSE REPUBLICAN ORGANIZATIONAL COMMITTEE,POLITICAL FUNDS & GROUPS
OHIO,OHIO REPUBLICAN PARTY,POLITICAL FUNDS & GROUPS
OHIO,OHIO REPUBLICAN SENATE CAMPAIGN COMMITTEE (RSCC),POLITICAL FUNDS & GROUPS
OHIO,MATCHSTICK MEDIA,MEDIA & ADS
OHIO,OHIO SENATE,POLITICAL FUNDS & GROUPS
OHIO,OHIO SENATE DEMOCRATIC CAUCUS,POLITICAL FUNDS & GROUPS
OHIO,OHIO SENATE REPUBLICAN CAMPAIGN COMMITTEE,POLITICAL FUNDS & GROUPS
OHIO,USO OF CENTRAL AND SOUTHERN OHIO (USOCSO),EVENT EXPENSES
OREGON,MOREL INK,PRINTING
OREGON,DEFEND OREGON,POLITICAL FUNDS & GROUPS
OREGON,DEMOCRATIC PARTY OF OREGON,POLITICAL FUNDS & GROUPS
OREGON,"FUTURE PAC, HOUSE BUILDERS",POLITICAL FUNDS & GROUPS
OREGON,PIONEER PRINTING,PRINTING
